record_id,date,time,menu_item,category,quantity,price_per_item,revenue,payment_method,order_type,server_id,server_name,hour,weekday,month_number,month_name,day_of_week,is_weekend,high_revenue,date_hour,service_period,weekend_label,high_revenue_label
36,2024-03-26,17:45:00,Old Fashioned,Beverage,4.0,12,48.0,Credit Card,Dine-In,102,Jake,17,Tuesday,3,March,1,False,False,2024-03-26 17:00:00,Dinner,Weekday,Other record
37,2024-07-13,11:45:00,Shrimp Cocktail,Appetizer,8.0,14,112.0,Credit Card,Takeaway,105,Nina,11,Saturday,7,July,5,True,True,2024-07-13 11:00:00,Lunch,Weekend,High-value record
38,2024-12-04,22:45:00,New York Strip,Entree,4.0,38,152.0,Credit Card,Dine-In,101,Sarah,22,Wednesday,12,December,2,False,True,2024-12-04 22:00:00,Dinner,Weekday,High-value record
39,2024-10-23,22:00:00,Truffle Fries,Side,5.0,8,40.0,Cash,Dine-In,105,Nina,22,Wednesday,10,October,2,False,False,2024-10-23 22:00:00,Dinner,Weekday,Other record
40,2024-09-01,19:15:00,Ribeye Steak,Entree,11.0,35,385.0,Cash,Dine-In,101,Sarah,19,Sunday,9,September,6,True,True,2024-09-01 19:00:00,Dinner,Weekend,High-value record
41,2024-10-31,12:15:00,Grilled Asparagus,Side,1.0,8,8.0,Mobile Payment,Dine-In,105,Nina,12,Thursday,10,October,3,False,False,2024-10-31 12:00:00,Lunch,Weekday,Other record
42,2024-10-31,11:00:00,Grilled Asparagus,Side,6.0,8,48.0,Mobile Payment,Delivery,103,Emily,11,Thursday,10,October,3,False,False,2024-10-31 11:00:00,Lunch,Weekday,Other record
43,2024-05-13,14:30:00,Caesar Salad,Appetizer,2.0,10,20.0,Credit Card,Dine-In,103,Emily,14,Monday,5,May,0,False,False,2024-05-13 14:00:00,Lunch,Weekday,Other record
44,2024-08-22,16:00:00,Ribeye Steak,Entree,3.0,35,105.0,Mobile Payment,Delivery,101,Sarah,16,Thursday,8,August,3,False,True,2024-08-22 16:00:00,Lunch,Weekday,High-value record
45,2024-02-07,19:15:00,Cabernet Sauvignon,Beverage,5.0,16,80.0,Cash,Takeaway,101,Sarah,19,Wednesday,2,February,2,False,True,2024-02-07 19:00:00,Dinner,Weekday,High-value record
46,2024-05-05,16:30:00,New York Strip,Entree,5.0,38,190.0,Mobile Payment,Delivery,103,Emily,16,Sunday,5,May,6,True,True,2024-05-05 16:00:00,Lunch,Weekend,High-value record
47,2024-11-09,21:00:00,Bourbon BBQ Burger,Entree,11.0,22,242.0,Credit Card,Delivery,101,Sarah,21,Saturday,11,November,5,True,True,2024-11-09 21:00:00,Dinner,Weekend,High-value record
48,2024-03-09,15:00:00,Filet Mignon,Entree,8.0,42,336.0,Cash,Takeaway,103,Emily,15,Saturday,3,March,5,True,True,2024-03-09 15:00:00,Lunch,Weekend,High-value record
49,2024-11-05,14:30:00,Caesar Salad,Appetizer,3.0,10,30.0,Mobile Payment,Takeaway,103,Emily,14,Tuesday,11,November,1,False,False,2024-11-05 14:00:00,Lunch,Weekday,Other record
50,2024-01-27,12:45:00,Shrimp Cocktail,Appetizer,2.0,14,28.0,Cash,Takeaway,102,Jake,12,Saturday,1,January,5,True,False,2024-01-27 12:00:00,Lunch,Weekend,Other record
51,2024-11-22,15:15:00,Truffle Fries,Side,6.0,8,48.0,Mobile Payment,Delivery,104,Carlos,15,Friday,11,November,4,False,False,2024-11-22 15:00:00,Lunch,Weekday,Other record
52,2024-10-14,11:00:00,Filet Mignon,Entree,2.0,42,84.0,Mobile Payment,Dine-In,103,Emily,11,Monday,10,October,0,False,True,2024-10-14 11:00:00,Lunch,Weekday,High-value record
53,2024-10-25,19:15:00,Grilled Asparagus,Side,4.0,8,32.0,Cash,Takeaway,103,Emily,19,Friday,10,October,4,False,False,2024-10-25 19:00:00,Dinner,Weekday,Other record
54,2024-01-21,16:15:00,Bourbon BBQ Burger,Entree,2.0,22,44.0,Mobile Payment,Dine-In,103,Emily,16,Sunday,1,January,6,True,False,2024-01-21 16:00:00,Lunch,Weekend,Other record
55,2024-10-13,17:15:00,Caesar Salad,Appetizer,4.0,10,40.0,Cash,Takeaway,101,Sarah,17,Sunday,10,October,6,True,False,2024-10-13 17:00:00,Dinner,Weekend,Other record
56,2024-04-01,22:30:00,Grilled Asparagus,Side,4.0,8,32.0,Credit Card,Dine-In,101,Sarah,22,Monday,4,April,0,False,False,2024-04-01 22:00:00,Dinner,Weekday,Other record
57,2024-07-14,11:45:00,Caesar Salad,Appetizer,2.0,10,20.0,Credit Card,Takeaway,103,Emily,11,Sunday,7,July,6,True,False,2024-07-14 11:00:00,Lunch,Weekend,Other record
58,2024-04-26,14:00:00,Bourbon BBQ Burger,Entree,3.0,22,66.0,Credit Card,Takeaway,103,Emily,14,Friday,4,April,4,False,True,2024-04-26 14:00:00,Lunch,Weekday,High-value record
59,2024-02-05,15:30:00,Bourbon BBQ Burger,Entree,5.0,22,110.0,Credit Card,Delivery,105,Nina,15,Monday,2,February,0,False,True,2024-02-05 15:00:00,Lunch,Weekday,High-value record
60,2024-06-18,11:00:00,Shrimp Cocktail,Appetizer,2.0,14,28.0,Mobile Payment,Takeaway,101,Sarah,11,Tuesday,6,June,1,False,False,2024-06-18 11:00:00,Lunch,Weekday,Other record
61,2024-02-25,20:45:00,Mashed Potatoes,Side,5.0,7,35.0,Credit Card,Delivery,105,Nina,20,Sunday,2,February,6,True,False,2024-02-25 20:00:00,Dinner,Weekend,Other record
62,2024-02-29,17:15:00,Shrimp Cocktail,Appetizer,2.0,14,28.0,Mobile Payment,Takeaway,101,Sarah,17,Thursday,2,February,3,False,False,2024-02-29 17:00:00,Dinner,Weekday,Other record
63,2024-09-23,19:15:00,Mashed Potatoes,Side,10.0,7,70.0,Cash,Delivery,103,Emily,19,Monday,9,September,0,False,True,2024-09-23 19:00:00,Dinner,Weekday,High-value record
64,2024-11-15,16:00:00,Truffle Fries,Side,5.0,8,40.0,Mobile Payment,Takeaway,104,Carlos,16,Friday,11,November,4,False,False,2024-11-15 16:00:00,Lunch,Weekday,Other record
65,2024-06-16,17:30:00,Cabernet Sauvignon,Beverage,5.0,16,80.0,Cash,Takeaway,104,Carlos,17,Sunday,6,June,6,True,True,2024-06-16 17:00:00,Dinner,Weekend,High-value record
66,2024-12-12,22:15:00,Chocolate Lava Cake,Dessert,9.0,9,81.0,Credit Card,Takeaway,105,Nina,22,Thursday,12,December,3,False,True,2024-12-12 22:00:00,Dinner,Weekday,High-value record
67,2024-01-01,15:30:00,Caesar Salad,Appetizer,4.8,10,48.0,Mobile Payment,Delivery,103,Emily,15,Monday,1,January,0,False,False,2024-01-01 15:00:00,Lunch,Weekday,Other record
68,2024-08-26,18:45:00,Bourbon BBQ Burger,Entree,4.0,22,88.0,Mobile Payment,Takeaway,102,Jake,18,Monday,8,August,0,False,True,2024-08-26 18:00:00,Dinner,Weekday,High-value record
69,2024-12-03,12:30:00,Cabernet Sauvignon,Beverage,6.0,16,96.0,Credit Card,Dine-In,102,Jake,12,Tuesday,12,December,1,False,True,2024-12-03 12:00:00,Lunch,Weekday,High-value record
70,2024-12-10,15:15:00,Caesar Salad,Appetizer,2.0,10,20.0,Cash,Dine-In,102,Jake,15,Tuesday,12,December,1,False,False,2024-12-10 15:00:00,Lunch,Weekday,Other record
71,2024-08-31,20:00:00,Old Fashioned,Beverage,9.0,12,108.0,Mobile Payment,Delivery,102,Jake,20,Saturday,8,August,5,True,True,2024-08-31 20:00:00,Dinner,Weekend,High-value record
72,2024-12-22,17:45:00,Grilled Asparagus,Side,3.0,8,24.0,Cash,Delivery,101,Sarah,17,Sunday,12,December,6,True,False,2024-12-22 17:00:00,Dinner,Weekend,Other record
73,2024-02-24,17:15:00,New York Strip,Entree,10.0,38,380.0,Credit Card,Dine-In,105,Nina,17,Saturday,2,February,5,True,True,2024-02-24 17:00:00,Dinner,Weekend,High-value record
74,2024-05-07,12:45:00,New York Strip,Entree,4.0,38,152.0,Mobile Payment,Delivery,105,Nina,12,Tuesday,5,May,1,False,True,2024-05-07 12:00:00,Lunch,Weekday,High-value record
75,2024-10-31,16:45:00,Chocolate Lava Cake,Dessert,5.0,9,45.0,Credit Card,Delivery,104,Carlos,16,Thursday,10,October,3,False,False,2024-10-31 16:00:00,Lunch,Weekday,Other record
76,2024-03-22,22:45:00,Old Fashioned,Beverage,7.0,12,84.0,Cash,Delivery,103,Emily,22,Friday,3,March,4,False,True,2024-03-22 22:00:00,Dinner,Weekday,High-value record
77,2024-09-23,18:15:00,Shrimp Cocktail,Appetizer,7.0,14,98.0,Cash,Delivery,103,Emily,18,Monday,9,September,0,False,True,2024-09-23 18:00:00,Dinner,Weekday,High-value record
78,2024-04-30,15:30:00,Mashed Potatoes,Side,5.0,7,35.0,Cash,Dine-In,102,Jake,15,Tuesday,4,April,1,False,False,2024-04-30 15:00:00,Lunch,Weekday,Other record
79,2024-04-28,17:15:00,Truffle Fries,Side,4.0,8,32.0,Cash,Takeaway,104,Carlos,17,Sunday,4,April,6,True,False,2024-04-28 17:00:00,Dinner,Weekend,Other record
80,2024-06-18,19:45:00,Grilled Asparagus,Side,2.0,8,16.0,Cash,Takeaway,104,Carlos,19,Tuesday,6,June,1,False,False,2024-06-18 19:00:00,Dinner,Weekday,Other record
81,2024-10-26,22:00:00,Chocolate Lava Cake,Dessert,7.0,9,63.0,Credit Card,Dine-In,103,Emily,22,Saturday,10,October,5,True,True,2024-10-26 22:00:00,Dinner,Weekend,High-value record
82,2024-06-01,17:45:00,Cabernet Sauvignon,Beverage,8.0,16,128.0,Mobile Payment,Dine-In,104,Carlos,17,Saturday,6,June,5,True,True,2024-06-01 17:00:00,Dinner,Weekend,High-value record
83,2024-04-22,15:45:00,Old Fashioned,Beverage,1.0,12,12.0,Credit Card,Takeaway,104,Carlos,15,Monday,4,April,0,False,False,2024-04-22 15:00:00,Lunch,Weekday,Other record
84,2024-03-25,18:15:00,Chocolate Lava Cake,Dessert,9.0,9,81.0,Cash,Takeaway,105,Nina,18,Monday,3,March,0,False,True,2024-03-25 18:00:00,Dinner,Weekday,High-value record
85,2024-10-15,21:00:00,Filet Mignon,Entree,7.0,42,294.0,Cash,Takeaway,102,Jake,21,Tuesday,10,October,1,False,True,2024-10-15 21:00:00,Dinner,Weekday,High-value record
86,2024-01-26,15:45:00,Mashed Potatoes,Side,3.0,7,21.0,Credit Card,Takeaway,103,Emily,15,Friday,1,January,4,False,False,2024-01-26 15:00:00,Lunch,Weekday,Other record
87,2024-07-13,15:45:00,Shrimp Cocktail,Appetizer,2.0,14,28.0,Credit Card,Dine-In,105,Nina,15,Saturday,7,July,5,True,False,2024-07-13 15:00:00,Lunch,Weekend,Other record
88,2024-01-27,16:15:00,Bourbon BBQ Burger,Entree,2.0,22,44.0,Mobile Payment,Dine-In,101,Sarah,16,Saturday,1,January,5,True,False,2024-01-27 16:00:00,Lunch,Weekend,Other record
89,2024-05-06,14:00:00,Chocolate Lava Cake,Dessert,2.0,9,18.0,Cash,Dine-In,104,Carlos,14,Monday,5,May,0,False,False,2024-05-06 14:00:00,Lunch,Weekday,Other record
90,2024-12-08,12:15:00,Old Fashioned,Beverage,3.0,12,36.0,Credit Card,Dine-In,105,Nina,12,Sunday,12,December,6,True,False,2024-12-08 12:00:00,Lunch,Weekend,Other record
91,2024-11-06,22:00:00,New York Strip,Entree,7.0,38,266.0,Cash,Delivery,101,Sarah,22,Wednesday,11,November,2,False,True,2024-11-06 22:00:00,Dinner,Weekday,High-value record
92,2024-06-08,20:45:00,Grilled Asparagus,Side,4.0,8,32.0,Cash,Delivery,102,Jake,20,Saturday,6,June,5,True,False,2024-06-08 20:00:00,Dinner,Weekend,Other record
93,2024-02-22,22:30:00,Bourbon BBQ Burger,Entree,11.0,22,242.0,Cash,Delivery,101,Sarah,22,Thursday,2,February,3,False,True,2024-02-22 22:00:00,Dinner,Weekday,High-value record
94,2024-06-26,19:45:00,Bourbon BBQ Burger,Entree,6.0,22,132.0,Cash,Delivery,103,Emily,19,Wednesday,6,June,2,False,True,2024-06-26 19:00:00,Dinner,Weekday,High-value record
95,2024-01-07,17:45:00,Filet Mignon,Entree,9.0,42,378.0,Credit Card,Delivery,104,Carlos,17,Sunday,1,January,6,True,True,2024-01-07 17:00:00,Dinner,Weekend,High-value record
96,2024-12-28,13:45:00,New York Strip,Entree,10.0,38,380.0,Mobile Payment,Takeaway,105,Nina,13,Saturday,12,December,5,True,True,2024-12-28 13:00:00,Lunch,Weekend,High-value record
97,2024-10-02,18:45:00,Grilled Asparagus,Side,8.0,8,64.0,Credit Card,Takeaway,102,Jake,18,Wednesday,10,October,2,False,True,2024-10-02 18:00:00,Dinner,Weekday,High-value record
98,2024-02-14,15:45:00,Caesar Salad,Appetizer,6.0,10,60.0,Mobile Payment,Delivery,104,Carlos,15,Wednesday,2,February,2,False,False,2024-02-14 15:00:00,Lunch,Weekday,Other record
99,2024-06-21,11:45:00,Mashed Potatoes,Side,4.0,7,28.0,Credit Card,Dine-In,103,Emily,11,Friday,6,June,4,False,False,2024-06-21 11:00:00,Lunch,Weekday,Other record
100,2024-05-12,16:30:00,Chocolate Lava Cake,Dessert,4.5,9,40.5,Mobile Payment,Dine-In,105,Nina,16,Sunday,5,May,6,True,False,2024-05-12 16:00:00,Lunch,Weekend,Other record
101,2024-04-07,12:15:00,Truffle Fries,Side,4.0,8,32.0,Credit Card,Delivery,102,Jake,12,Sunday,4,April,6,True,False,2024-04-07 12:00:00,Lunch,Weekend,Other record
102,2024-12-19,18:45:00,Old Fashioned,Beverage,2.0,12,24.0,Cash,Takeaway,102,Jake,18,Thursday,12,December,3,False,False,2024-12-19 18:00:00,Dinner,Weekday,Other record
103,2024-07-26,22:15:00,Shrimp Cocktail,Appetizer,8.0,14,112.0,Credit Card,Takeaway,105,Nina,22,Friday,7,July,4,False,True,2024-07-26 22:00:00,Dinner,Weekday,High-value record
104,2024-09-28,16:45:00,Truffle Fries,Side,8.0,8,64.0,Credit Card,Takeaway,104,Carlos,16,Saturday,9,September,5,True,True,2024-09-28 16:00:00,Lunch,Weekend,High-value record
105,2024-05-18,15:30:00,Caesar Salad,Appetizer,2.0,10,20.0,Mobile Payment,Dine-In,103,Emily,15,Saturday,5,May,5,True,False,2024-05-18 15:00:00,Lunch,Weekend,Other record
106,2024-03-02,22:15:00,Caesar Salad,Appetizer,4.0,10,40.0,Mobile Payment,Takeaway,103,Emily,22,Saturday,3,March,5,True,False,2024-03-02 22:00:00,Dinner,Weekend,Other record
107,2024-10-28,19:30:00,Filet Mignon,Entree,4.0,42,168.0,Credit Card,Dine-In,103,Emily,19,Monday,10,October,0,False,True,2024-10-28 19:00:00,Dinner,Weekday,High-value record
108,2024-04-01,15:00:00,Truffle Fries,Side,5.0,8,40.0,Cash,Takeaway,101,Sarah,15,Monday,4,April,0,False,False,2024-04-01 15:00:00,Lunch,Weekday,Other record
109,2024-01-28,19:30:00,Truffle Fries,Side,4.0,8,32.0,Mobile Payment,Takeaway,101,Sarah,19,Sunday,1,January,6,True,False,2024-01-28 19:00:00,Dinner,Weekend,Other record
110,2024-01-07,20:30:00,Old Fashioned,Beverage,9.0,12,108.0,Credit Card,Takeaway,102,Jake,20,Sunday,1,January,6,True,True,2024-01-07 20:00:00,Dinner,Weekend,High-value record
111,2024-01-27,15:45:00,Filet Mignon,Entree,2.0,42,84.0,Credit Card,Takeaway,101,Sarah,15,Saturday,1,January,5,True,True,2024-01-27 15:00:00,Lunch,Weekend,High-value record
112,2024-10-22,21:00:00,New York Strip,Entree,3.0,38,114.0,Mobile Payment,Takeaway,101,Sarah,21,Tuesday,10,October,1,False,True,2024-10-22 21:00:00,Dinner,Weekday,High-value record
113,2024-05-07,12:45:00,Chocolate Lava Cake,Dessert,5.0,9,45.0,Mobile Payment,Dine-In,105,Nina,12,Tuesday,5,May,1,False,False,2024-05-07 12:00:00,Lunch,Weekday,Other record
114,2024-07-13,18:45:00,Shrimp Cocktail,Appetizer,10.0,14,140.0,Credit Card,Takeaway,105,Nina,18,Saturday,7,July,5,True,True,2024-07-13 18:00:00,Dinner,Weekend,High-value record
115,2024-11-13,11:00:00,Caesar Salad,Appetizer,2.0,10,20.0,Credit Card,Delivery,101,Sarah,11,Wednesday,11,November,2,False,False,2024-11-13 11:00:00,Lunch,Weekday,Other record
116,2024-03-21,14:15:00,Cabernet Sauvignon,Beverage,1.0,16,16.0,Cash,Dine-In,104,Carlos,14,Thursday,3,March,3,False,False,2024-03-21 14:00:00,Lunch,Weekday,Other record
117,2024-08-18,22:45:00,Shrimp Cocktail,Appetizer,2.0,14,28.0,Cash,Takeaway,103,Emily,22,Sunday,8,August,6,True,False,2024-08-18 22:00:00,Dinner,Weekend,Other record
118,2024-12-25,18:00:00,Bourbon BBQ Burger,Entree,4.0,22,88.0,Credit Card,Delivery,105,Nina,18,Wednesday,12,December,2,False,True,2024-12-25 18:00:00,Dinner,Weekday,High-value record
119,2024-12-04,14:45:00,Filet Mignon,Entree,5.0,42,210.0,Cash,Delivery,102,Jake,14,Wednesday,12,December,2,False,True,2024-12-04 14:00:00,Lunch,Weekday,High-value record
120,2024-05-16,13:00:00,Ribeye Steak,Entree,2.0,35,70.0,Credit Card,Delivery,105,Nina,13,Thursday,5,May,3,False,True,2024-05-16 13:00:00,Lunch,Weekday,High-value record
121,2024-05-27,18:00:00,Old Fashioned,Beverage,5.0,12,60.0,Mobile Payment,Takeaway,103,Emily,18,Monday,5,May,0,False,False,2024-05-27 18:00:00,Dinner,Weekday,Other record
122,2024-09-13,19:45:00,Old Fashioned,Beverage,2.0,12,24.0,Mobile Payment,Dine-In,104,Carlos,19,Friday,9,September,4,False,False,2024-09-13 19:00:00,Dinner,Weekday,Other record
123,2024-06-14,20:30:00,Ribeye Steak,Entree,2.0,35,70.0,Cash,Delivery,105,Nina,20,Friday,6,June,4,False,True,2024-06-14 20:00:00,Dinner,Weekday,High-value record
124,2024-10-27,11:30:00,Chocolate Lava Cake,Dessert,1.0,9,9.0,Cash,Takeaway,105,Nina,11,Sunday,10,October,6,True,False,2024-10-27 11:00:00,Lunch,Weekend,Other record
125,2024-11-29,18:30:00,New York Strip,Entree,10.0,38,380.0,Credit Card,Delivery,104,Carlos,18,Friday,11,November,4,False,True,2024-11-29 18:00:00,Dinner,Weekday,High-value record
126,2024-02-16,18:30:00,Grilled Asparagus,Side,5.0,8,40.0,Credit Card,Delivery,101,Sarah,18,Friday,2,February,4,False,False,2024-02-16 18:00:00,Dinner,Weekday,Other record
127,2024-03-23,16:45:00,Truffle Fries,Side,8.0,8,64.0,Credit Card,Delivery,104,Carlos,16,Saturday,3,March,5,True,True,2024-03-23 16:00:00,Lunch,Weekend,High-value record
128,2024-10-08,11:45:00,Filet Mignon,Entree,3.0,42,126.0,Credit Card,Takeaway,101,Sarah,11,Tuesday,10,October,1,False,True,2024-10-08 11:00:00,Lunch,Weekday,High-value record
129,2024-07-25,19:00:00,Bourbon BBQ Burger,Entree,11.0,22,242.0,Credit Card,Takeaway,101,Sarah,19,Thursday,7,July,3,False,True,2024-07-25 19:00:00,Dinner,Weekday,High-value record
130,2024-04-06,19:30:00,Chocolate Lava Cake,Dessert,8.0,9,72.0,Mobile Payment,Takeaway,101,Sarah,19,Saturday,4,April,5,True,True,2024-04-06 19:00:00,Dinner,Weekend,High-value record
131,2024-04-14,15:15:00,Shrimp Cocktail,Appetizer,4.0,14,56.0,Mobile Payment,Takeaway,101,Sarah,15,Sunday,4,April,6,True,False,2024-04-14 15:00:00,Lunch,Weekend,Other record
132,2024-01-15,21:15:00,Truffle Fries,Side,4.0,8,32.0,Credit Card,Delivery,101,Sarah,21,Monday,1,January,0,False,False,2024-01-15 21:00:00,Dinner,Weekday,Other record
133,2024-10-09,17:00:00,Caesar Salad,Appetizer,2.0,10,20.0,Credit Card,Dine-In,102,Jake,17,Wednesday,10,October,2,False,False,2024-10-09 17:00:00,Dinner,Weekday,Other record
134,2024-09-12,22:30:00,Cabernet Sauvignon,Beverage,6.0,16,96.0,Credit Card,Takeaway,104,Carlos,22,Thursday,9,September,3,False,True,2024-09-12 22:00:00,Dinner,Weekday,High-value record
135,2024-05-04,18:15:00,Grilled Asparagus,Side,4.0,8,32.0,Mobile Payment,Delivery,102,Jake,18,Saturday,5,May,5,True,False,2024-05-04 18:00:00,Dinner,Weekend,Other record
